Zone,RhinoCount,PoachingIncidents,RangerPatrolFreq,CameraSurveillance,WaterSources,TouristActivity
Zone 7,6,0,9.740819387967733,0,4,35
Zone 4,2,0,9.858915604088015,1,2,40
Zone 8,7,0,9.9289086245346,1,4,44
Zone 5,6,0,5.876824129253441,1,1,39
Zone 7,5,1,10.979710146675114,1,3,47
Zone 10,3,1,7.701885009791414,1,3,72
Zone 3,4,0,10.252760811337266,1,2,41
Zone 7,7,1,5.99476077233648,1,3,42
Zone 8,4,1,6.402806524780747,1,2,56
Zone 5,3,1,7.548054705344171,1,2,47
Zone 4,2,1,7.303755219227879,0,4,30
Zone 8,6,0,9.50962388693834,0,2,49
Zone 8,3,0,6.535741362903091,0,4,48
Zone 3,5,0,9.329229980620713,0,3,64
Zone 6,9,0,8.464469014265307,0,2,35
Zone 5,6,1,6.573215562785703,1,2,64
Zone 2,6,0,8.309353234964627,1,1,48
Zone 8,9,0,6.053469906333903,1,2,33
Zone 6,4,1,11.700411600011442,1,2,30
Zone 2,9,1,1.671335357851106,0,1,79
Zone 5,2,1,8.34588640899008,0,1,47
Zone 1,10,0,3.4708081814459057,0,3,64
Zone 10,6,0,6.548686593563863,1,2,24
Zone 6,9,0,6.828783821057508,0,3,89
Zone 9,4,0,10.015267117827367,0,3,63
Zone 1,1,0,5.615695575846219,1,1,46
Zone 10,6,0,9.616023831323556,1,4,45
Zone 3,8,0,4.642366719550406,0,3,61
Zone 7,6,0,9.693339447509732,1,4,60
Zone 4,2,0,6.051309116193054,1,2,52
Zone 9,3,0,7.1468690384822375,1,1,50
Zone 3,5,0,6.327242673779192,1,2,58
Zone 5,3,0,9.564726948231208,0,2,23
Zone 3,3,0,9.175479686467495,0,1,44
Zone 7,5,0,7.88700344116905,1,2,25
Zone 5,6,0,4.696263230826451,1,1,59
Zone 9,5,0,5.569956263939515,1,4,39
Zone 7,3,1,4.942846948987749,1,2,26
Zone 2,5,0,2.5037142264156733,1,1,38
Zone 4,3,0,9.522636203700092,1,3,52
Zone 9,3,0,6.344352947314606,1,2,46
Zone 2,6,1,6.323012071415405,1,4,32
Zone 10,5,0,9.99220446685112,0,1,24
Zone 9,6,0,6.048022795227265,1,2,51
Zone 10,2,1,5.319058128628138,0,2,41
Zone 5,4,0,6.550508758970031,0,2,46
Zone 2,7,0,4.734661896246207,1,4,47
Zone 4,6,0,7.688711538575912,0,1,56
Zone 7,5,0,6.25267584347166,0,3,62
Zone 8,4,0,5.985457178812375,0,3,52
Zone 3,3,0,5.812193655959396,1,3,45
Zone 1,3,1,6.787557012315977,1,1,50
Zone 4,7,1,7.166962251039702,1,3,44
Zone 2,7,0,5.960049823184956,0,4,25
Zone 8,6,0,6.2824681278097065,1,1,66
Zone 4,6,0,6.836954346361302,1,2,63
Zone 2,7,1,6.635163728920922,0,4,79
Zone 6,8,1,7.062151933750028,1,2,84
Zone 6,6,0,5.646658393503973,0,3,32
Zone 10,3,1,9.00918581825298,1,4,44
Zone 4,7,0,7.193656354819034,1,1,87
Zone 6,5,0,5.992306494350245,1,4,49
Zone 2,5,0,7.68876843475707,0,2,53
Zone 10,7,0,6.851262802362571,1,1,27
Zone 2,4,0,3.532347291032664,1,4,52
Zone 10,9,0,7.681905380443252,1,4,78
Zone 4,4,0,4.960987595231625,1,4,69
Zone 8,5,1,8.868855566462615,0,4,40
Zone 7,2,0,6.516500722213106,0,1,44
Zone 9,6,0,8.560140594782128,1,2,33
Zone 8,3,0,5.739562893604786,1,4,37
Zone 5,6,0,7.13985853428128,1,1,21
Zone 2,2,0,9.420487001013752,0,2,48
Zone 5,3,0,6.461966907170355,1,4,72
Zone 8,5,0,5.81836580252839,0,2,55
Zone 10,3,0,8.310081227563579,1,2,70
Zone 9,4,0,8.271323193501921,1,1,66
Zone 9,5,0,5.902501733170363,1,2,41
Zone 1,6,0,3.0290779591644754,0,1,38
Zone 9,3,0,5.779954045003288,1,4,39
Zone 7,3,0,8.354719043372844,0,2,24
Zone 9,4,1,5.449931621152552,0,2,50
Zone 8,5,0,6.978124325967609,1,3,6
Zone 1,4,0,5.685030124067312,1,4,58
Zone 8,2,0,3.1356656749479006,0,4,51
Zone 8,6,0,5.649037645920144,1,3,57
Zone 3,6,0,8.346264041379424,1,3,65
Zone 1,8,1,2.2594950398683755,1,1,52
Zone 8,1,1,7.504334700951151,0,1,74
Zone 3,6,1,4.6278615372011735,1,2,59
Zone 3,2,0,8.216884138948384,0,2,38
Zone 1,5,0,8.428637871747306,0,2,46
Zone 5,2,0,6.6561041301774475,0,2,16
Zone 10,6,0,6.660663682437556,1,1,36
Zone 7,4,0,5.387274605727397,0,4,44
Zone 10,3,0,4.308833199790068,0,2,58
Zone 9,5,1,10.396185812667467,0,4,38
Zone 7,6,0,5.2698571456577445,1,2,31
Zone 9,3,0,10.135592262392944,1,3,21
Zone 8,4,0,5.280999920399646,0,2,41
Zone 2,8,0,8.050380780675457,1,2,79
Zone 1,4,0,4.7243856806927305,1,2,54
Zone 7,10,0,8.046790033804031,1,1,64
Zone 7,4,0,6.348825285693756,0,3,36
Zone 8,5,0,6.374967678648659,1,2,26
Zone 5,10,1,8.220046339568901,1,2,31
Zone 3,3,1,6.061717269841804,1,4,48
Zone 8,4,0,4.143703009109805,0,3,20
Zone 6,7,0,8.522611126818905,1,2,34
Zone 3,5,1,4.708198820035344,1,4,41
Zone 1,10,1,8.03303456879582,1,4,30
Zone 3,4,0,8.945993090666,0,1,18
Zone 5,2,0,6.249012227295565,0,4,54
